5257,-1505,-5162
5310,-1598,-5478
5331,-1661,-5781
5344,-1672,-6078
5290,-1722,-6322
5241,-1726,-6533
5128,-1863,-6675
4969,-1979,-6755
4750,-2150,-6816
4520,-2353,-6870
4267,-2532,-6953
4014,-2666,-7008
3770,-2724,-6984
3556,-2652,-6879
3377,-2433,-6688
3175,-2116,-6400
2896,-1914,-6026
2550,-1514,-5632
2146,-1032,-5281
1734,-594,-4977
1417,-295,-4656
1135,-56,-4334
942,343,-4047
749,546,-3763
606,979,-3467
409,1262,-3219
185,1554,-2985
-63,1857,-2803
-396,2227,-2671
-863,2569,-2584
-1490,2905,-2541
-2127,3380,-2578
-2498,3609,-2567
-2835,3686,-2521
-2888,3646,-2434
-2755,3495,-2241
-2476,3306,-1943
-2073,2970,-1636
-1640,2593,-1450
-1367,2254,-1467
-1335,2043,-1667
-1547,1994,-2016
-1868,2045,-2404
-2170,2123,-2753
-2316,2124,-2959
-2327,2019,-3015
-2159,1807,-2976
-1723,1562,-2911
-1096,1343,-2902
-331,1132,-2961
454,922,-3112
1051,675,-3347
1363,396,-3727
1268,141,-4242
969,5,-4791
575,-70,-5296
218,-109,-5684
85,-106,-5932
265,-111,-6042
808,-108,-5991
1571,-186,-5805
2167,-264,-5471
2499,-262,-4988
2586,-207,-4482
2393,36,-3937
2026,495,-3357
1627,968,-2791
1301,1397,-2264
1227,1790,-1910
1296,2213,-1604
1276,2680,-1278
1041,3192,-1042
670,3840,-825
162,4293,-635
-213,4665,-383
-393,4552,-113
-234,4264,186
80,3653,447
404,2951,600
540,2212,605
484,1538,446
255,984,169
-180,623,-239
-770,361,-701
-1364,123,-1058
-1876,-131,-1257
-2139,-396,-1213
-2088,-628,-912
-1900,-788,-437
-1601,-879,81
-1243,-794,535
-999,-517,747
-861,-85,731
-676,404,494
-325,838,26
341,1181,-594
1298,1410,-1377
2430,1468,-2274
3541,1240,-3191
4351,865,-4167
5007,347,-5182
5555,-311,-6250
6030,-1043,-7244
6238,-1845,-8308
5916,-2617,-9381
5138,-3166,-10321
3993,-3499,-11124
2776,-3714,-11815
1850,-3934,-12378
1123,-4311,-12822
348,-4738,-13156
-620,-4831,-13350
-1820,-4549,-13464
-3062,-3783,-13497
-3951,-2569,-13200
-4205,-655,-12397
-4196,2135,-10929
-4517,4910,-8317
-5378,6790,-3395
-6899,6582,4032
-9054,4529,12065
-10116,1179,19985
-9083,-2179,26662
-6570,-4335,31960
-3555,-4937,32767
-739,-3399,32767
936,-1909,32767
1246,-691,32767
1425,763,32767
639,1804,32767
-240,2753,32767
-1577,3160,32767
-2900,3149,32767
-4157,2574,32767
-5019,1671,32767
-5514,570,32767
-5567,-582,32767
-5135,-1622,32767
-4211,-2424,32767
-3099,-2899,32767
-1927,-2917,32767
-817,-2547,32767
73,-1802,32767
554,-858,32767
604,162,32767
212,1120,32767
-521,1900,32767
-1459,2361,32767
-2467,2459,32767
-3456,2162,32767
-4227,1592,32767
-4727,825,32767
-4828,-53,32767
-4563,-919,32767
-3956,-1650,32767
-3116,-2135,32767
-2194,-2295,32767
-1331,-2120,32767
-583,-1657,32767
-129,-1007,32767
-19,-250,32767
-254,508,32767
-766,1145,32767
-1487,1589,32767
-2294,1756,32767
-3076,1664,32767
-3738,1308,32767
-4163,763,32767
-4303,79,32767
-4158,-659,32767
-3734,-1335,32767
-3172,-1764,32767
-2470,-1948,32767
-1756,-1888,32767
-1138,-1595,32767
-698,-1106,32767
-510,-470,32767
-568,161,32767
-880,785,32767
-1399,1272,32767
-1995,1518,32767
-2666,1564,32767
-3302,1364,32767
-3685,997,32767
-3894,487,32767
-3819,-103,32767
-3542,-635,32767
-3077,-1098,32767
-2503,-1436,32767
-1956,-1551,32767
-1479,-1458,32767
-1112,-1163,32767
-957,-767,32767
-988,-270,32767
-1215,253,32767
-1573,688,32767
-2016,1015,32767
-2495,1176,32767
-2894,1150,32767
-3209,964,32767
-3379,629,32767
-3385,221,32767
-3253,-222,32767
-2979,-678,32767
-2649,-1011,32767
-2281,-1252,32767
-1929,-1336,32767
-1616,-1217,32767
-1306,-851,32767
-992,-24,32767
3352,1527,32767
7046,3209,32767
6340,-3475,30604
-1188,-3197,25757
-2950,-1040,22070
-3222,571,20240
-3087,371,19432
-3151,-38,19018
-3342,-296,18595
-2764,-830,18365
-2790,-884,18193
-2587,-1229,18105
-2267,-1384,18032
-1999,-1676,17996
-1578,-1737,18004
-1275,-1789,18015
-703,-1658,18010
-563,-1717,18054
-235,-1512,18084
71,-1356,18100
331,-1096,18115
566,-838,18104
735,-491,18095
860,-177,18073
964,166,18053
892,514,18042
778,843,18023
574,1135,17981
373,1336,17913
-86,1332,17721
-1204,840,17272
-3074,-349,16337
-3959,-66,14965
-4708,-1809,12759
-5573,-206,10601
-4505,467,9083
-3551,720,7828
-3018,615,6947
-2543,235,6302
-2392,-198,5776
-1566,-319,5475
-1640,-380,5296
-1031,-317,5222
-1125,-159,5140
-514,153,5131
-444,464,5037
-205,723,4936
267,980,4874
388,1289,4736
779,1425,4569
904,1409,4323
973,704,4015
1019,105,3704
1300,-396,3313
1569,-586,2856
1664,-559,2307
1497,-504,1728
665,-156,1090
-43,135,491
-255,94,32
-297,9,-262
-300,-114,-461
-298,-17,-626
-296,11,-754
-243,86,-843
-175,122,-882
-79,197,-897
-20,237,-879
49,253,-827
37,266,-750
76,161,-656
37,142,-550
40,29,-434
23,16,-301
8,-31,-167
-26,47,-41
-53,108,52
-62,125,113
-65,128,131
-75,108,123
-62,92,100
-41,80,67
-36,58,29
-32,43,-10
-23,31,-29
-24,20,-39
-22,22,-32
-28,31,-23
-30,38,-13
-30,43,-8
-31,43,-9
-29,39,-14
-29,36,-15
-27,35,-15
-28,36,-15
-30,38,-11
-29,37,-9
-28,40,-16
-28,38,-14
-29,38,-13
-30,35,-13
-28,38,-12
-29,36,-10
-26,36,-15
-29,42,-16
-28,40,-14
-28,36,-12
-31,38,-13
-28,38,-15
-28,39,-14
-29,39,-15
-29,36,-12
-31,39,-13
-28,38,-15
-31,41,-15
-29,40,-12
-30,37,-13
-27,37,-15
-28,39,-13
-29,36,-13
-30,36,-15
-29,38,-11
-30,40,-13
-30,39,-11
-30,38,-13
-31,38,-12
-27,39,-10
-29,39,-13
-30,40,-13
-30,40,-15
-29,38,-15
-28,36,-9
-29,38,-13
-32,36,-16
-29,36,-14
-27,39,-14
-29,37,-16
-29,39,-14
-30,35,-11
-30,36,-15
-28,41,-12
-30,40,-12
-30,39,-11
-30,40,-14
-31,38,-11
-28,38,-16
-28,38,-14
-29,37,-13
-32,35,-10
-29,37,-11
-29,39,-13
-28,39,-12
-29,36,-13
-32,38,-14
-31,37,-14
-32,41,-12
-29,38,-14
-31,38,-14
-28,37,-11
-28,39,-11
-29,40,-14
